"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
1 Jan 2023 13:41:59.854,-23.442,-44.781,502.961584,0.063047,-0.013875,-0.013155
1 Jan 2023 13:42:02.000,-23.306,-44.811,502.933418,0.063050,-0.013855,-0.013100
1 Jan 2023 13:42:05.000,-23.117,-44.852,502.894236,0.063053,-0.013828,-0.013022
1 Jan 2023 13:42:08.000,-22.928,-44.894,502.855287,0.063057,-0.013801,-0.012943
1 Jan 2023 13:42:11.000,-22.739,-44.935,502.816576,0.063061,-0.013775,-0.012864
1 Jan 2023 13:42:14.000,-22.550,-44.976,502.778103,0.063064,-0.013748,-0.012784
1 Jan 2023 13:42:17.000,-22.360,-45.017,502.739870,0.063068,-0.013723,-0.012704
1 Jan 2023 13:42:20.000,-22.171,-45.059,502.701880,0.063071,-0.013697,-0.012623
1 Jan 2023 13:42:23.000,-21.982,-45.100,502.664133,0.063075,-0.013672,-0.012541
1 Jan 2023 13:42:26.000,-21.793,-45.141,502.626633,0.063078,-0.013647,-0.012459
1 Jan 2023 13:42:29.000,-21.603,-45.182,502.589379,0.063081,-0.013622,-0.012376
1 Jan 2023 13:42:32.000,-21.414,-45.222,502.552376,0.063085,-0.013598,-0.012293
1 Jan 2023 13:42:35.000,-21.225,-45.263,502.515623,0.063088,-0.013574,-0.012209
1 Jan 2023 13:42:38.000,-21.036,-45.304,502.479123,0.063091,-0.013550,-0.012124
1 Jan 2023 13:42:41.000,-20.846,-45.344,502.442878,0.063095,-0.013527,-0.012039
1 Jan 2023 13:42:44.000,-20.657,-45.385,502.406889,0.063098,-0.013504,-0.011953
1 Jan 2023 13:42:47.000,-20.468,-45.425,502.371159,0.063101,-0.013481,-0.011867
1 Jan 2023 13:42:50.000,-20.279,-45.466,502.335688,0.063104,-0.013458,-0.011780
1 Jan 2023 13:42:53.000,-20.089,-45.506,502.300479,0.063107,-0.013436,-0.011693
1 Jan 2023 13:42:56.000,-19.900,-45.546,502.265533,0.063111,-0.013414,-0.011605
1 Jan 2023 13:42:59.000,-19.711,-45.587,502.230851,0.063114,-0.013392,-0.011516
1 Jan 2023 13:43:02.000,-19.521,-45.627,502.196437,0.063117,-0.013371,-0.011427
1 Jan 2023 13:43:05.000,-19.332,-45.667,502.162290,0.063120,-0.013349,-0.011337
1 Jan 2023 13:43:08.000,-19.142,-45.707,502.128414,0.063123,-0.013329,-0.011247
1 Jan 2023 13:43:11.000,-18.953,-45.747,502.094809,0.063126,-0.013308,-0.011156
1 Jan 2023 13:43:14.000,-18.764,-45.787,502.061477,0.063129,-0.013287,-0.011065
1 Jan 2023 13:43:17.000,-18.574,-45.827,502.028419,0.063131,-0.013267,-0.010973
1 Jan 2023 13:43:20.000,-18.385,-45.866,501.995638,0.063134,-0.013247,-0.010881
1 Jan 2023 13:43:23.000,-18.196,-45.906,501.963135,0.063137,-0.013228,-0.010788
1 Jan 2023 13:43:26.000,-18.006,-45.946,501.930911,0.063140,-0.013209,-0.010695
1 Jan 2023 13:43:29.000,-17.817,-45.985,501.898968,0.063143,-0.013189,-0.010601
1 Jan 2023 13:43:32.000,-17.627,-46.025,501.867308,0.063145,-0.013171,-0.010506
1 Jan 2023 13:43:35.000,-17.438,-46.064,501.835931,0.063148,-0.013152,-0.010411
1 Jan 2023 13:43:38.000,-17.248,-46.104,501.804840,0.063151,-0.013134,-0.010316
1 Jan 2023 13:43:41.000,-17.059,-46.143,501.774036,0.063153,-0.013116,-0.010220
1 Jan 2023 13:43:44.000,-16.869,-46.182,501.743520,0.063156,-0.013098,-0.010124
1 Jan 2023 13:43:47.000,-16.680,-46.222,501.713295,0.063159,-0.013080,-0.010027
1 Jan 2023 13:43:50.000,-16.490,-46.261,501.683360,0.063161,-0.013063,-0.009929
1 Jan 2023 13:43:53.000,-16.301,-46.300,501.653719,0.063164,-0.013046,-0.009832
1 Jan 2023 13:43:56.000,-16.112,-46.339,501.624371,0.063166,-0.013029,-0.009733
1 Jan 2023 13:43:59.000,-15.922,-46.378,501.595319,0.063169,-0.013012,-0.009635
1 Jan 2023 13:44:02.000,-15.732,-46.417,501.566565,0.063171,-0.012996,-0.009535
1 Jan 2023 13:44:05.000,-15.543,-46.456,501.538108,0.063174,-0.012980,-0.009436
1 Jan 2023 13:44:08.000,-15.353,-46.495,501.509952,0.063176,-0.012964,-0.009335
1 Jan 2023 13:44:11.000,-15.164,-46.534,501.482096,0.063178,-0.012948,-0.009235
1 Jan 2023 13:44:14.000,-14.974,-46.573,501.454543,0.063181,-0.012933,-0.009134
1 Jan 2023 13:44:17.000,-14.785,-46.612,501.427293,0.063183,-0.012918,-0.009032
1 Jan 2023 13:44:20.000,-14.595,-46.650,501.400349,0.063185,-0.012903,-0.008930
1 Jan 2023 13:44:23.000,-14.406,-46.689,501.373711,0.063187,-0.012888,-0.008828
1 Jan 2023 13:44:26.000,-14.216,-46.728,501.347380,0.063190,-0.012873,-0.008725
1 Jan 2023 13:44:29.000,-14.027,-46.766,501.321359,0.063192,-0.012859,-0.008622
1 Jan 2023 13:44:32.000,-13.837,-46.805,501.295647,0.063194,-0.012845,-0.008519
1 Jan 2023 13:44:35.000,-13.647,-46.843,501.270247,0.063196,-0.012831,-0.008415
1 Jan 2023 13:44:38.000,-13.458,-46.882,501.245159,0.063198,-0.012817,-0.008310
1 Jan 2023 13:44:41.000,-13.268,-46.920,501.220385,0.063200,-0.012804,-0.008206
1 Jan 2023 13:44:44.000,-13.079,-46.959,501.195927,0.063202,-0.012791,-0.008100
1 Jan 2023 13:44:47.000,-12.889,-46.997,501.171784,0.063204,-0.012778,-0.007995
1 Jan 2023 13:44:50.000,-12.699,-47.035,501.147958,0.063206,-0.012765,-0.007889
1 Jan 2023 13:44:53.000,-12.510,-47.074,501.124451,0.063208,-0.012752,-0.007783
1 Jan 2023 13:44:56.000,-12.320,-47.112,501.101263,0.063210,-0.012740,-0.007676
1 Jan 2023 13:44:59.000,-12.131,-47.150,501.078396,0.063212,-0.012728,-0.007569
1 Jan 2023 13:45:02.000,-11.941,-47.188,501.055851,0.063214,-0.012716,-0.007461
1 Jan 2023 13:45:05.000,-11.751,-47.226,501.033628,0.063215,-0.012704,-0.007354
1 Jan 2023 13:45:08.000,-11.562,-47.264,501.011729,0.063217,-0.012693,-0.007246
1 Jan 2023 13:45:11.000,-11.372,-47.303,500.990155,0.063219,-0.012681,-0.007137
1 Jan 2023 13:45:14.000,-11.182,-47.341,500.968907,0.063221,-0.012670,-0.007028
1 Jan 2023 13:45:17.000,-10.993,-47.379,500.947986,0.063222,-0.012659,-0.006919
1 Jan 2023 13:45:20.000,-10.803,-47.416,500.927393,0.063224,-0.012649,-0.006810
1 Jan 2023 13:45:23.000,-10.613,-47.454,500.907129,0.063226,-0.012638,-0.006700
1 Jan 2023 13:45:26.000,-10.424,-47.492,500.887194,0.063227,-0.012628,-0.006590
1 Jan 2023 13:45:29.000,-10.234,-47.530,500.867591,0.063229,-0.012618,-0.006479
1 Jan 2023 13:45:32.000,-10.044,-47.568,500.848319,0.063230,-0.012608,-0.006369
1 Jan 2023 13:45:35.000,-9.855,-47.606,500.829380,0.063232,-0.012598,-0.006258
1 Jan 2023 13:45:38.000,-9.665,-47.644,500.810774,0.063233,-0.012589,-0.006146
1 Jan 2023 13:45:41.000,-9.475,-47.681,500.792503,0.063235,-0.012580,-0.006035
1 Jan 2023 13:45:44.000,-9.285,-47.719,500.774567,0.063236,-0.012570,-0.005923
1 Jan 2023 13:45:47.000,-9.096,-47.757,500.756967,0.063238,-0.012562,-0.005810
1 Jan 2023 13:45:50.000,-8.906,-47.794,500.739705,0.063239,-0.012553,-0.005698
1 Jan 2023 13:45:53.000,-8.716,-47.832,500.722780,0.063241,-0.012544,-0.005585
1 Jan 2023 13:45:56.000,-8.527,-47.870,500.706193,0.063242,-0.012536,-0.005472
1 Jan 2023 13:45:59.000,-8.337,-47.907,500.689947,0.063243,-0.012528,-0.005359
1 Jan 2023 13:46:02.000,-8.147,-47.945,500.674040,0.063244,-0.012520,-0.005245
1 Jan 2023 13:46:05.000,-7.957,-47.982,500.658474,0.063246,-0.012512,-0.005132
1 Jan 2023 13:46:08.000,-7.768,-48.020,500.643250,0.063247,-0.012505,-0.005018
1 Jan 2023 13:46:11.000,-7.578,-48.057,500.628368,0.063248,-0.012497,-0.004903
1 Jan 2023 13:46:14.000,-7.388,-48.095,500.613829,0.063249,-0.012490,-0.004789
1 Jan 2023 13:46:17.000,-7.198,-48.132,500.599634,0.063250,-0.012483,-0.004674
1 Jan 2023 13:46:20.000,-7.009,-48.170,500.585783,0.063251,-0.012477,-0.004559
1 Jan 2023 13:46:23.000,-6.819,-48.207,500.572278,0.063252,-0.012470,-0.004444
1 Jan 2023 13:46:26.000,-6.629,-48.245,500.559118,0.063253,-0.012464,-0.004329
1 Jan 2023 13:46:29.000,-6.439,-48.282,500.546304,0.063254,-0.012457,-0.004213
1 Jan 2023 13:46:32.000,-6.250,-48.319,500.533838,0.063255,-0.012451,-0.004098
1 Jan 2023 13:46:35.000,-6.060,-48.357,500.521719,0.063256,-0.012445,-0.003982
1 Jan 2023 13:46:38.000,-5.870,-48.394,500.509948,0.063257,-0.012440,-0.003866
1 Jan 2023 13:46:41.000,-5.680,-48.431,500.498525,0.063258,-0.012434,-0.003749
1 Jan 2023 13:46:44.000,-5.490,-48.469,500.487452,0.063259,-0.012429,-0.003633
1 Jan 2023 13:46:47.000,-5.301,-48.506,500.476728,0.063260,-0.012424,-0.003516
1 Jan 2023 13:46:50.000,-5.111,-48.543,500.466355,0.063261,-0.012419,-0.003399
1 Jan 2023 13:46:53.000,-4.921,-48.580,500.456332,0.063261,-0.012414,-0.003282
1 Jan 2023 13:46:56.000,-4.731,-48.618,500.446661,0.063262,-0.012410,-0.003165
1 Jan 2023 13:46:59.000,-4.542,-48.655,500.437341,0.063263,-0.012405,-0.003048
1 Jan 2023 13:47:02.000,-4.352,-48.692,500.428372,0.063264,-0.012401,-0.002931
1 Jan 2023 13:47:05.000,-4.162,-48.729,500.419757,0.063264,-0.012397,-0.002813
1 Jan 2023 13:47:08.000,-3.972,-48.767,500.411494,0.063265,-0.012393,-0.002695
1 Jan 2023 13:47:11.000,-3.782,-48.804,500.403584,0.063265,-0.012390,-0.002578
1 Jan 2023 13:47:14.000,-3.593,-48.841,500.396028,0.063266,-0.012386,-0.002460
1 Jan 2023 13:47:17.000,-3.403,-48.878,500.388826,0.063267,-0.012383,-0.002342
1 Jan 2023 13:47:20.000,-3.213,-48.915,500.381978,0.063267,-0.012380,-0.002224
1 Jan 2023 13:47:23.000,-3.023,-48.952,500.375485,0.063268,-0.012377,-0.002105
1 Jan 2023 13:47:26.000,-2.833,-48.989,500.369346,0.063268,-0.012374,-0.001987
1 Jan 2023 13:47:29.000,-2.644,-49.027,500.363563,0.063268,-0.012372,-0.001869
