"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
2 Jan 2023 04:04:55.728,22.146,93.254,502.752926,0.063071,-0.013689,0.012061
2 Jan 2023 04:04:58.000,22.289,93.222,502.780404,0.063068,-0.013708,0.012123
2 Jan 2023 04:05:01.000,22.478,93.181,502.816893,0.063065,-0.013734,0.012203
2 Jan 2023 04:05:04.000,22.667,93.140,502.853623,0.063061,-0.013760,0.012283
2 Jan 2023 04:05:07.000,22.856,93.099,502.890593,0.063058,-0.013786,0.012363
2 Jan 2023 04:05:10.000,23.046,93.057,502.927800,0.063054,-0.013813,0.012442
2 Jan 2023 04:05:13.000,23.235,93.016,502.965243,0.063051,-0.013840,0.012520
2 Jan 2023 04:05:16.000,23.424,92.974,503.002920,0.063047,-0.013867,0.012598
2 Jan 2023 04:05:19.000,23.613,92.933,503.040829,0.063044,-0.013895,0.012675
2 Jan 2023 04:05:22.000,23.802,92.891,503.078967,0.063040,-0.013923,0.012751
2 Jan 2023 04:05:25.000,23.991,92.849,503.117334,0.063036,-0.013951,0.012827
2 Jan 2023 04:05:28.000,24.180,92.807,503.155927,0.063032,-0.013980,0.012902
2 Jan 2023 04:05:31.000,24.369,92.765,503.194744,0.063029,-0.014009,0.012976
2 Jan 2023 04:05:34.000,24.559,92.723,503.233783,0.063025,-0.014038,0.013050
2 Jan 2023 04:05:37.000,24.748,92.681,503.273043,0.063021,-0.014067,0.013123
2 Jan 2023 04:05:40.000,24.937,92.639,503.312521,0.063017,-0.014097,0.013195
2 Jan 2023 04:05:43.000,25.126,92.596,503.352215,0.063013,-0.014128,0.013267
2 Jan 2023 04:05:46.000,25.315,92.554,503.392124,0.063009,-0.014158,0.013338
2 Jan 2023 04:05:49.000,25.504,92.511,503.432244,0.063005,-0.014190,0.013409
2 Jan 2023 04:05:52.000,25.693,92.469,503.472576,0.063001,-0.014221,0.013479
2 Jan 2023 04:05:55.000,25.882,92.426,503.513115,0.062997,-0.014253,0.013548
2 Jan 2023 04:05:58.000,26.071,92.383,503.553861,0.062993,-0.014285,0.013616
2 Jan 2023 04:06:01.000,26.260,92.340,503.594811,0.062989,-0.014317,0.013684
2 Jan 2023 04:06:04.000,26.449,92.297,503.635963,0.062985,-0.014350,0.013751
