"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
3 Jan 2023 06:54:15.442,29.938,49.669,504.720868,0.062896,-0.015032,0.014414
3 Jan 2023 06:54:18.000,30.099,49.631,504.757792,0.062892,-0.015067,0.014459
3 Jan 2023 06:54:21.000,30.287,49.585,504.801244,0.062887,-0.015108,0.014510
3 Jan 2023 06:54:24.000,30.476,49.540,504.844849,0.062882,-0.015150,0.014560
3 Jan 2023 06:54:27.000,30.665,49.494,504.888604,0.062877,-0.015193,0.014610
3 Jan 2023 06:54:30.000,30.853,49.449,504.932507,0.062872,-0.015236,0.014659
3 Jan 2023 06:54:33.000,31.042,49.403,504.976556,0.062867,-0.015279,0.014707
3 Jan 2023 06:54:36.000,31.231,49.357,505.020747,0.062862,-0.015323,0.014754
3 Jan 2023 06:54:39.000,31.419,49.311,505.065080,0.062857,-0.015367,0.014801
3 Jan 2023 06:54:42.000,31.608,49.265,505.109551,0.062851,-0.015412,0.014847
3 Jan 2023 06:54:45.000,31.796,49.219,505.154159,0.062846,-0.015458,0.014892
3 Jan 2023 06:54:48.000,31.985,49.172,505.198900,0.062841,-0.015504,0.014936
3 Jan 2023 06:54:51.000,32.173,49.126,505.243774,0.062836,-0.015550,0.014980
3 Jan 2023 06:54:54.000,32.362,49.079,505.288777,0.062830,-0.015597,0.015022
3 Jan 2023 06:54:57.000,32.550,49.032,505.333907,0.062825,-0.015645,0.015064
3 Jan 2023 06:55:00.000,32.739,48.985,505.379163,0.062820,-0.015693,0.015106
3 Jan 2023 06:55:03.000,32.927,48.938,505.424540,0.062814,-0.015741,0.015146
3 Jan 2023 06:55:06.000,33.116,48.891,505.470038,0.062809,-0.015791,0.015186
3 Jan 2023 06:55:09.000,33.304,48.843,505.515654,0.062803,-0.015840,0.015225
3 Jan 2023 06:55:12.000,33.492,48.796,505.561386,0.062798,-0.015891,0.015263
3 Jan 2023 06:55:15.000,33.681,48.748,505.607230,0.062792,-0.015941,0.015300
3 Jan 2023 06:55:18.000,33.869,48.700,505.653186,0.062786,-0.015993,0.015337
3 Jan 2023 06:55:21.000,34.057,48.652,505.699250,0.062781,-0.016045,0.015373
3 Jan 2023 06:55:24.000,34.246,48.604,505.745420,0.062775,-0.016098,0.015408
3 Jan 2023 06:55:27.000,34.434,48.555,505.791694,0.062769,-0.016151,0.015442
3 Jan 2023 06:55:30.000,34.622,48.507,505.838070,0.062763,-0.016205,0.015475
3 Jan 2023 06:55:33.000,34.811,48.458,505.884544,0.062757,-0.016259,0.015508
3 Jan 2023 06:55:36.000,34.999,48.409,505.931116,0.062751,-0.016314,0.015540
3 Jan 2023 06:55:39.000,35.187,48.360,505.977781,0.062745,-0.016370,0.015571
3 Jan 2023 06:55:42.000,35.375,48.311,506.024538,0.062739,-0.016427,0.015601
3 Jan 2023 06:55:45.000,35.564,48.262,506.071385,0.062733,-0.016484,0.015630
3 Jan 2023 06:55:48.000,35.752,48.212,506.118319,0.062727,-0.016541,0.015659
3 Jan 2023 06:55:51.000,35.940,48.162,506.165338,0.062721,-0.016600,0.015687
3 Jan 2023 06:55:54.000,36.128,48.112,506.212439,0.062715,-0.016659,0.015714
3 Jan 2023 06:55:57.000,36.316,48.062,506.259620,0.062708,-0.016719,0.015740
3 Jan 2023 06:56:00.000,36.504,48.012,506.306878,0.062702,-0.016779,0.015765
3 Jan 2023 06:56:03.000,36.693,47.962,506.354212,0.062696,-0.016840,0.015790
3 Jan 2023 06:56:06.000,36.881,47.911,506.401618,0.062689,-0.016902,0.015814
3 Jan 2023 06:56:09.000,37.069,47.860,506.449094,0.062683,-0.016965,0.015837
3 Jan 2023 06:56:12.000,37.257,47.809,506.496638,0.062676,-0.017028,0.015859
3 Jan 2023 06:56:15.000,37.445,47.758,506.544248,0.062670,-0.017092,0.015880
3 Jan 2023 06:56:18.000,37.633,47.707,506.591920,0.062663,-0.017157,0.015901
3 Jan 2023 06:56:21.000,37.821,47.655,506.639653,0.062656,-0.017223,0.015921
3 Jan 2023 06:56:24.000,38.009,47.603,506.687444,0.062650,-0.017289,0.015940
3 Jan 2023 06:56:27.000,38.197,47.551,506.735291,0.062643,-0.017356,0.015958
3 Jan 2023 06:56:30.000,38.385,47.499,506.783191,0.062636,-0.017424,0.015975
