Time (UTCG),Lat (deg),Lon (deg),Alt (km),Lat Rate (deg/sec),Lon Rate (deg/sec),Alt Rate (km/sec)
1/3/2022 6:54,29.938,49.67,504.721576,0.062896,-0.015031,0.014414
54:18.0,30.099,49.631,504.758431,0.062892,-0.015066,0.014458
54:21.0,30.287,49.586,504.801884,0.062887,-0.015107,0.01451
54:24.0,30.476,49.541,504.845488,0.062882,-0.015149,0.01456
54:27.0,30.664,49.495,504.889242,0.062877,-0.015192,0.01461
54:30.0,30.853,49.449,504.933144,0.062872,-0.015235,0.014658
54:33.0,31.042,49.404,504.977192,0.062867,-0.015278,0.014707
54:36.0,31.23,49.358,505.021383,0.062862,-0.015322,0.014754
54:39.0,31.419,49.312,505.065715,0.062857,-0.015366,0.014801
54:42.0,31.607,49.266,505.110185,0.062851,-0.015411,0.014846
54:45.0,31.796,49.219,505.154792,0.062846,-0.015457,0.014891
54:48.0,31.985,49.173,505.199533,0.062841,-0.015503,0.014936
54:51.0,32.173,49.126,505.244406,0.062836,-0.015549,0.014979
54:54.0,32.362,49.08,505.289408,0.06283,-0.015596,0.015022
54:57.0,32.55,49.033,505.334538,0.062825,-0.015644,0.015064
55:00.0,32.739,48.986,505.379792,0.06282,-0.015692,0.015105
55:03.0,32.927,48.939,505.425169,0.062814,-0.01574,0.015146
55:06.0,33.115,48.891,505.470666,0.062809,-0.015789,0.015185
55:09.0,33.304,48.844,505.516281,0.062803,-0.015839,0.015224
55:12.0,33.492,48.796,505.562012,0.062798,-0.015889,0.015263
55:15.0,33.681,48.748,505.607855,0.062792,-0.01594,0.0153
55:18.0,33.869,48.701,505.65381,0.062786,-0.015992,0.015336
55:21.0,34.057,48.652,505.699873,0.062781,-0.016044,0.015372
55:24.0,34.246,48.604,505.746043,0.062775,-0.016097,0.015407
55:27.0,34.434,48.556,505.792316,0.062769,-0.01615,0.015441
55:30.0,34.622,48.507,505.83869,0.062763,-0.016204,0.015475
55:33.0,34.811,48.459,505.885164,0.062757,-0.016258,0.015507
55:36.0,34.999,48.41,505.931734,0.062751,-0.016313,0.015539
55:39.0,35.187,48.361,505.978398,0.062746,-0.016369,0.01557
55:42.0,35.375,48.312,506.025155,0.062739,-0.016425,0.015601
55:45.0,35.563,48.262,506.072001,0.062733,-0.016483,0.01563
55:48.0,35.752,48.213,506.118934,0.062727,-0.01654,0.015659
55:51.0,35.94,48.163,506.165951,0.062721,-0.016599,0.015686
55:54.0,36.128,48.113,506.213051,0.062715,-0.016658,0.015713
