"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Name","% Coverage","Area (km^2)","% Accum Cov.","Accum Area (km^2)"
1,3 Jan 2022 06:54:16.296,3 Jan 2022 06:56:45.941,149.65,"Sensor1",1.00,16848.32,1.00,16848.32
2,4 Jan 2022 06:31:37.922,4 Jan 2022 06:34:25.879,167.96,"Sensor1",1.16,19414.04,2.16,36262.37
3,5 Jan 2022 06:09:18.700,5 Jan 2022 06:12:38.225,199.53,"Sensor1",1.34,22507.09,3.50,58769.46
4,7 Jan 2022 07:02:03.199,7 Jan 2022 07:03:48.793,105.59,"Sensor1",0.72,12006.87,4.22,70776.33
5,8 Jan 2022 06:38:39.233,8 Jan 2022 06:41:51.134,191.90,"Sensor1",1.31,21925.01,5.52,92701.35
6,9 Jan 2022 06:16:25.134,9 Jan 2022 06:19:51.631,206.50,"Sensor1",1.41,23681.90,6.94,116383.25
7,12 Jan 2022 06:45:51.180,12 Jan 2022 06:48:42.124,170.94,"Sensor1",1.16,19406.80,8.09,135790.05
8,13 Jan 2022 06:23:22.141,13 Jan 2022 06:23:22.182,0.04,"Sensor1",0.00,54.58,8.09,135844.63
9,13 Jan 2022 06:23:22.305,13 Jan 2022 06:26:39.934,197.63,"Sensor1",1.35,22605.59,9.44,158450.21
10,14 Jan 2022 06:01:49.394,14 Jan 2022 06:01:54.486,5.09,"Sensor1",0.02,323.14,9.46,158773.36
11,14 Jan 2022 06:04:02.400,14 Jan 2022 06:04:23.750,21.35,"Sensor1",0.13,2139.83,9.59,160913.19
12,16 Jan 2022 06:53:17.949,16 Jan 2022 06:55:47.565,149.62,"Sensor1",1.02,17158.32,10.61,178071.51
13,17 Jan 2022 06:30:32.061,17 Jan 2022 06:33:15.861,163.80,"Sensor1",1.11,18710.60,11.73,196782.11
14,18 Jan 2022 06:08:17.011,18 Jan 2022 06:09:16.417,59.41,"Sensor1",0.39,6573.60,12.12,203355.71
15,18 Jan 2022 06:09:17.539,18 Jan 2022 06:11:22.705,125.17,"Sensor1",0.84,14148.95,12.96,217504.66
16,20 Jan 2022 06:59:58.354,20 Jan 2022 07:02:15.640,137.29,"Sensor1",0.92,15397.81,13.88,232902.47
17,21 Jan 2022 06:36:57.665,21 Jan 2022 06:40:04.867,187.20,"Sensor1",1.27,21292.31,15.15,254194.78
