"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
2 Jan 2023 05:40:01.016,24.193,69.167,503.164440,0.063032,-0.013982,0.012977
2 Jan 2023 05:40:04.000,24.381,69.125,503.203275,0.063028,-0.014011,0.013051
2 Jan 2023 05:40:07.000,24.570,69.083,503.242538,0.063024,-0.014040,0.013124
2 Jan 2023 05:40:10.000,24.759,69.041,503.282021,0.063020,-0.014070,0.013197
2 Jan 2023 05:40:13.000,24.948,68.999,503.321722,0.063016,-0.014100,0.013270
2 Jan 2023 05:40:16.000,25.137,68.956,503.361638,0.063012,-0.014130,0.013341
2 Jan 2023 05:40:19.000,25.326,68.914,503.401769,0.063009,-0.014161,0.013412
2 Jan 2023 05:40:22.000,25.515,68.871,503.442111,0.063005,-0.014192,0.013483
2 Jan 2023 05:40:25.000,25.704,68.829,503.482663,0.063000,-0.014224,0.013552
2 Jan 2023 05:40:28.000,25.893,68.786,503.523423,0.062996,-0.014255,0.013621
2 Jan 2023 05:40:31.000,26.082,68.743,503.564389,0.062992,-0.014288,0.013689
2 Jan 2023 05:40:34.000,26.271,68.700,503.605559,0.062988,-0.014320,0.013757
2 Jan 2023 05:40:37.000,26.460,68.657,503.646930,0.062984,-0.014353,0.013824
2 Jan 2023 05:40:40.000,26.649,68.614,503.688501,0.062980,-0.014386,0.013890
2 Jan 2023 05:40:43.000,26.838,68.571,503.730270,0.062976,-0.014420,0.013956
2 Jan 2023 05:40:46.000,27.027,68.528,503.772234,0.062971,-0.014454,0.014020
2 Jan 2023 05:40:49.000,27.216,68.484,503.814391,0.062967,-0.014489,0.014084
2 Jan 2023 05:40:52.000,27.405,68.441,503.856740,0.062963,-0.014523,0.014148
2 Jan 2023 05:40:55.000,27.594,68.397,503.899278,0.062958,-0.014559,0.014211
2 Jan 2023 05:40:58.000,27.783,68.353,503.942002,0.062954,-0.014594,0.014273
2 Jan 2023 05:41:01.000,27.972,68.310,503.984912,0.062949,-0.014630,0.014334
2 Jan 2023 05:41:04.000,28.160,68.266,504.028005,0.062945,-0.014667,0.014394
2 Jan 2023 05:41:07.000,28.349,68.222,504.071278,0.062940,-0.014704,0.014454
2 Jan 2023 05:41:10.000,28.538,68.177,504.114730,0.062936,-0.014741,0.014513
2 Jan 2023 05:41:13.000,28.727,68.133,504.158357,0.062931,-0.014779,0.014572
2 Jan 2023 05:41:16.000,28.916,68.089,504.202159,0.062927,-0.014817,0.014629
2 Jan 2023 05:41:19.000,29.104,68.044,504.246133,0.062922,-0.014856,0.014686
2 Jan 2023 05:41:22.000,29.293,68.000,504.290277,0.062917,-0.014895,0.014743
2 Jan 2023 05:41:25.000,29.482,67.955,504.334589,0.062912,-0.014934,0.014798
2 Jan 2023 05:41:28.000,29.671,67.910,504.379065,0.062908,-0.014974,0.014853
2 Jan 2023 05:41:31.000,29.859,67.865,504.423705,0.062903,-0.015015,0.014907
2 Jan 2023 05:41:34.000,30.048,67.820,504.468506,0.062898,-0.015056,0.014960
2 Jan 2023 05:41:37.000,30.237,67.775,504.513465,0.062893,-0.015097,0.015013
2 Jan 2023 05:41:40.000,30.425,67.729,504.558581,0.062888,-0.015139,0.015064
2 Jan 2023 05:41:43.000,30.614,67.684,504.603851,0.062883,-0.015181,0.015115
2 Jan 2023 05:41:46.000,30.803,67.638,504.649273,0.062878,-0.015224,0.015166
2 Jan 2023 05:41:49.000,30.991,67.593,504.694845,0.062873,-0.015267,0.015215
2 Jan 2023 05:41:52.000,31.180,67.547,504.740564,0.062868,-0.015311,0.015264
2 Jan 2023 05:41:54.143,31.315,67.514,504.773308,0.062864,-0.015342,0.015298
3 Jan 2023 05:19:37.049,29.583,73.391,504.692378,0.062904,-0.014954,0.014363
3 Jan 2023 05:19:40.000,29.769,73.346,504.734837,0.062899,-0.014994,0.014415
3 Jan 2023 05:19:43.000,29.957,73.301,504.778162,0.062894,-0.015035,0.014468
3 Jan 2023 05:19:46.000,30.146,73.256,504.821643,0.062889,-0.015076,0.014519
3 Jan 2023 05:19:49.000,30.335,73.211,504.865278,0.062884,-0.015117,0.014570
3 Jan 2023 05:19:52.000,30.523,73.166,504.909064,0.062879,-0.015159,0.014620
3 Jan 2023 05:19:55.000,30.712,73.120,504.952999,0.062875,-0.015202,0.014670
3 Jan 2023 05:19:58.000,30.900,73.074,504.997082,0.062870,-0.015245,0.014718
3 Jan 2023 05:20:01.000,31.089,73.029,505.041309,0.062864,-0.015288,0.014766
3 Jan 2023 05:20:04.000,31.278,72.983,505.085679,0.062859,-0.015332,0.014813
3 Jan 2023 05:20:07.000,31.466,72.937,505.130189,0.062854,-0.015377,0.014860
3 Jan 2023 05:20:10.000,31.655,72.890,505.174837,0.062849,-0.015422,0.014905
3 Jan 2023 05:20:13.000,31.843,72.844,505.219621,0.062844,-0.015467,0.014950
3 Jan 2023 05:20:16.000,32.032,72.798,505.264539,0.062839,-0.015514,0.014994
3 Jan 2023 05:20:19.000,32.220,72.751,505.309587,0.062833,-0.015560,0.015038
3 Jan 2023 05:20:22.000,32.409,72.704,505.354765,0.062828,-0.015607,0.015080
3 Jan 2023 05:20:25.000,32.597,72.657,505.400069,0.062823,-0.015655,0.015122
3 Jan 2023 05:20:28.000,32.786,72.610,505.445498,0.062817,-0.015703,0.015163
3 Jan 2023 05:20:31.000,32.974,72.563,505.491048,0.062812,-0.015752,0.015204
3 Jan 2023 05:20:34.000,33.163,72.516,505.536719,0.062806,-0.015801,0.015243
3 Jan 2023 05:20:37.000,33.351,72.468,505.582506,0.062801,-0.015851,0.015282
3 Jan 2023 05:20:40.000,33.539,72.421,505.628409,0.062795,-0.015901,0.015320
3 Jan 2023 05:20:43.000,33.728,72.373,505.674424,0.062790,-0.015952,0.015357
3 Jan 2023 05:20:46.000,33.916,72.325,505.720550,0.062784,-0.016004,0.015393
3 Jan 2023 05:20:49.000,34.105,72.277,505.766784,0.062778,-0.016056,0.015429
3 Jan 2023 05:20:52.000,34.293,72.229,505.813124,0.062772,-0.016109,0.015464
3 Jan 2023 05:20:55.000,34.481,72.180,505.859567,0.062767,-0.016162,0.015498
3 Jan 2023 05:20:58.000,34.669,72.132,505.906111,0.062761,-0.016216,0.015531
3 Jan 2023 05:21:01.000,34.858,72.083,505.952754,0.062755,-0.016271,0.015564
3 Jan 2023 05:21:04.000,35.046,72.034,505.999493,0.062749,-0.016326,0.015595
3 Jan 2023 05:21:07.000,35.234,71.985,506.046325,0.062743,-0.016382,0.015626
3 Jan 2023 05:21:10.000,35.422,71.936,506.093250,0.062737,-0.016439,0.015656
3 Jan 2023 05:21:13.000,35.611,71.886,506.140263,0.062731,-0.016496,0.015686
