"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
1 Jan 2023 08:55:52.931,-32.816,28.317,504.862973,0.062827,-0.015717,-0.016197
1 Jan 2023 08:55:55.000,-32.686,28.284,504.829491,0.062831,-0.015684,-0.016168
1 Jan 2023 08:55:58.000,-32.498,28.237,504.781053,0.062836,-0.015636,-0.016124
1 Jan 2023 08:56:01.000,-32.309,28.190,504.732747,0.062842,-0.015588,-0.016080
1 Jan 2023 08:56:04.000,-32.121,28.144,504.684575,0.062847,-0.015542,-0.016035
1 Jan 2023 08:56:07.000,-31.932,28.097,504.636538,0.062853,-0.015495,-0.015989
1 Jan 2023 08:56:10.000,-31.743,28.051,504.588641,0.062858,-0.015449,-0.015942
1 Jan 2023 08:56:13.000,-31.555,28.004,504.540884,0.062863,-0.015404,-0.015895
1 Jan 2023 08:56:16.000,-31.366,27.958,504.493271,0.062868,-0.015359,-0.015847
1 Jan 2023 08:56:19.000,-31.178,27.912,504.445803,0.062873,-0.015315,-0.015798
1 Jan 2023 08:56:22.000,-30.989,27.866,504.398482,0.062879,-0.015271,-0.015749
1 Jan 2023 08:56:25.000,-30.800,27.821,504.351312,0.062884,-0.015228,-0.015698
1 Jan 2023 08:56:28.000,-30.612,27.775,504.304294,0.062889,-0.015185,-0.015647
1 Jan 2023 08:56:31.000,-30.423,27.729,504.257431,0.062894,-0.015143,-0.015595
1 Jan 2023 08:56:34.000,-30.234,27.684,504.210724,0.062899,-0.015101,-0.015542
1 Jan 2023 08:56:37.000,-30.046,27.639,504.164177,0.062904,-0.015060,-0.015489
1 Jan 2023 08:56:40.000,-29.857,27.594,504.117791,0.062909,-0.015019,-0.015435
1 Jan 2023 08:56:43.000,-29.668,27.549,504.071568,0.062913,-0.014979,-0.015380
1 Jan 2023 08:56:46.000,-29.479,27.504,504.025512,0.062918,-0.014939,-0.015324
1 Jan 2023 08:56:49.000,-29.291,27.459,503.979623,0.062923,-0.014899,-0.015268
1 Jan 2023 08:56:52.000,-29.102,27.414,503.933904,0.062928,-0.014860,-0.015211
1 Jan 2023 08:56:55.000,-28.913,27.370,503.888358,0.062932,-0.014821,-0.015153
1 Jan 2023 08:56:58.000,-28.724,27.325,503.842987,0.062937,-0.014783,-0.015095
1 Jan 2023 08:57:01.000,-28.535,27.281,503.797792,0.062942,-0.014745,-0.015035
1 Jan 2023 08:57:04.000,-28.347,27.237,503.752776,0.062946,-0.014708,-0.014975
1 Jan 2023 08:57:07.000,-28.158,27.193,503.707941,0.062951,-0.014671,-0.014914
1 Jan 2023 08:57:10.000,-27.969,27.149,503.663290,0.062955,-0.014635,-0.014853
1 Jan 2023 08:57:13.000,-27.780,27.105,503.618824,0.062960,-0.014599,-0.014791
1 Jan 2023 08:57:16.000,-27.591,27.061,503.574546,0.062964,-0.014563,-0.014728
1 Jan 2023 08:57:19.000,-27.402,27.018,503.530457,0.062969,-0.014528,-0.014664
1 Jan 2023 08:57:22.000,-27.213,26.974,503.486560,0.062973,-0.014493,-0.014600
1 Jan 2023 08:57:25.000,-27.024,26.931,503.442858,0.062977,-0.014458,-0.014535
1 Jan 2023 08:57:28.000,-26.836,26.887,503.399351,0.062982,-0.014424,-0.014469
1 Jan 2023 08:57:31.000,-26.647,26.844,503.356043,0.062986,-0.014390,-0.014403
1 Jan 2023 08:57:34.000,-26.458,26.801,503.312935,0.062990,-0.014357,-0.014336
1 Jan 2023 08:57:37.000,-26.269,26.758,503.270029,0.062994,-0.014324,-0.014268
1 Jan 2023 08:57:40.000,-26.080,26.715,503.227328,0.062999,-0.014292,-0.014199
1 Jan 2023 08:57:43.000,-25.891,26.672,503.184833,0.063003,-0.014259,-0.014130
1 Jan 2023 08:57:46.000,-25.702,26.630,503.142547,0.063007,-0.014228,-0.014060
1 Jan 2023 08:57:49.000,-25.513,26.587,503.100471,0.063011,-0.014196,-0.013990
1 Jan 2023 08:57:52.000,-25.324,26.544,503.058608,0.063015,-0.014165,-0.013919
1 Jan 2023 08:57:55.000,-25.135,26.502,503.016960,0.063019,-0.014134,-0.013847
1 Jan 2023 08:57:58.000,-24.945,26.460,502.975529,0.063023,-0.014104,-0.013774
1 Jan 2023 08:58:01.000,-24.756,26.417,502.934316,0.063027,-0.014074,-0.013701
1 Jan 2023 08:58:04.000,-24.567,26.375,502.893324,0.063031,-0.014044,-0.013627
1 Jan 2023 08:58:04.651,-24.526,26.366,502.884453,0.063032,-0.014038,-0.013611
2 Jan 2023 08:35:17.732,-28.166,32.652,504.266589,0.062940,-0.014671,-0.014898
2 Jan 2023 08:35:20.000,-28.023,32.619,504.232849,0.062944,-0.014643,-0.014853
2 Jan 2023 08:35:23.000,-27.834,32.575,504.188379,0.062948,-0.014607,-0.014793
2 Jan 2023 08:35:26.000,-27.645,32.532,504.144090,0.062953,-0.014571,-0.014733
2 Jan 2023 08:35:29.000,-27.456,32.488,504.099983,0.062957,-0.014536,-0.014671
2 Jan 2023 08:35:32.000,-27.267,32.444,504.056061,0.062961,-0.014501,-0.014609
2 Jan 2023 08:35:35.000,-27.079,32.401,504.012327,0.062966,-0.014466,-0.014547
