"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
25 Aug 2022 08:02:07.704,44.000,43.579,510.277049,-0.038478,0.065695,-0.014348
25 Aug 2022 08:02:10.000,43.912,43.730,510.244048,-0.038576,0.065489,-0.014383
25 Aug 2022 08:02:13.000,43.796,43.926,510.200813,-0.038704,0.065220,-0.014428
25 Aug 2022 08:02:16.000,43.679,44.121,510.157445,-0.038830,0.064952,-0.014472
25 Aug 2022 08:02:19.000,43.563,44.315,510.113945,-0.038956,0.064686,-0.014515
25 Aug 2022 08:02:22.000,43.445,44.509,510.070316,-0.039080,0.064421,-0.014558
25 Aug 2022 08:02:25.000,43.328,44.702,510.026559,-0.039204,0.064158,-0.014600
25 Aug 2022 08:02:28.000,43.210,44.894,509.982676,-0.039326,0.063895,-0.014642
25 Aug 2022 08:02:31.000,43.092,45.085,509.938670,-0.039448,0.063634,-0.014683
25 Aug 2022 08:02:34.000,42.973,45.275,509.894542,-0.039569,0.063374,-0.014723
25 Aug 2022 08:02:37.000,42.854,45.465,509.850294,-0.039688,0.063116,-0.014763
25 Aug 2022 08:02:40.000,42.735,45.654,509.805928,-0.039807,0.062859,-0.014802
25 Aug 2022 08:02:43.000,42.615,45.842,509.761446,-0.039925,0.062603,-0.014840
25 Aug 2022 08:02:46.000,42.495,46.030,509.716850,-0.040042,0.062348,-0.014878
25 Aug 2022 08:02:49.000,42.375,46.216,509.672142,-0.040158,0.062095,-0.014915
25 Aug 2022 08:02:52.000,42.254,46.402,509.627324,-0.040273,0.061843,-0.014951
25 Aug 2022 08:02:55.000,42.133,46.587,509.582398,-0.040388,0.061592,-0.014987
25 Aug 2022 08:02:58.000,42.012,46.771,509.537366,-0.040501,0.061343,-0.015022
25 Aug 2022 08:03:01.000,41.890,46.955,509.492230,-0.040613,0.061095,-0.015056
25 Aug 2022 08:03:04.000,41.768,47.138,509.446991,-0.040725,0.060848,-0.015090
25 Aug 2022 08:03:07.000,41.646,47.320,509.401652,-0.040836,0.060603,-0.015123
25 Aug 2022 08:03:10.000,41.523,47.501,509.356216,-0.040945,0.060359,-0.015155
25 Aug 2022 08:03:13.000,41.400,47.682,509.310683,-0.041054,0.060116,-0.015187
25 Aug 2022 08:03:16.000,41.277,47.862,509.265056,-0.041162,0.059874,-0.015218
25 Aug 2022 08:03:19.000,41.153,48.041,509.219336,-0.041270,0.059634,-0.015248
25 Aug 2022 08:03:22.000,41.029,48.220,509.173527,-0.041376,0.059395,-0.015278
25 Aug 2022 08:03:25.000,40.905,48.397,509.127629,-0.041482,0.059158,-0.015307
25 Aug 2022 08:03:28.000,40.780,48.574,509.081646,-0.041586,0.058922,-0.015335
25 Aug 2022 08:03:31.000,40.655,48.751,509.035578,-0.041690,0.058687,-0.015363
25 Aug 2022 08:03:34.000,40.530,48.926,508.989428,-0.041793,0.058454,-0.015390
25 Aug 2022 08:03:37.000,40.404,49.101,508.943198,-0.041895,0.058222,-0.015416
25 Aug 2022 08:03:40.000,40.278,49.276,508.896891,-0.041997,0.057991,-0.015442
25 Aug 2022 08:03:43.000,40.152,49.449,508.850507,-0.042097,0.057761,-0.015467
25 Aug 2022 08:03:46.000,40.025,49.622,508.804049,-0.042197,0.057533,-0.015491
25 Aug 2022 08:03:49.000,39.899,49.794,508.757520,-0.042296,0.057306,-0.015515
25 Aug 2022 08:03:52.000,39.772,49.966,508.710921,-0.042394,0.057081,-0.015538
25 Aug 2022 08:03:55.000,39.644,50.137,508.664253,-0.042492,0.056857,-0.015560
25 Aug 2022 08:03:58.000,39.516,50.307,508.617521,-0.042588,0.056634,-0.015581
25 Aug 2022 08:04:01.000,39.389,50.476,508.570724,-0.042684,0.056413,-0.015602
25 Aug 2022 08:04:04.000,39.260,50.645,508.523866,-0.042779,0.056192,-0.015622
25 Aug 2022 08:04:07.000,39.132,50.813,508.476949,-0.042874,0.055974,-0.015642
25 Aug 2022 08:04:10.000,39.003,50.981,508.429974,-0.042967,0.055756,-0.015661
25 Aug 2022 08:04:13.000,38.874,51.148,508.382944,-0.043060,0.055540,-0.015679
25 Aug 2022 08:04:16.000,38.744,51.314,508.335860,-0.043152,0.055325,-0.015696
25 Aug 2022 08:04:19.000,38.615,51.479,508.288725,-0.043243,0.055111,-0.015713
25 Aug 2022 08:04:22.000,38.485,51.644,508.241542,-0.043334,0.054899,-0.015729
25 Aug 2022 08:04:25.000,38.355,51.809,508.194311,-0.043424,0.054688,-0.015744
25 Aug 2022 08:04:28.000,38.224,51.972,508.147035,-0.043513,0.054478,-0.015759
25 Aug 2022 08:04:31.000,38.093,52.135,508.099716,-0.043602,0.054270,-0.015773
