"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
24 Aug 2022 08:02:07.696,44.000,44.565,510.277121,-0.038478,0.065695,-0.014348
24 Aug 2022 08:02:09.000,43.950,44.650,510.258393,-0.038533,0.065578,-0.014368
24 Aug 2022 08:02:11.000,43.873,44.781,510.229614,-0.038619,0.065399,-0.014398
24 Aug 2022 08:02:13.000,43.796,44.912,510.200776,-0.038704,0.065220,-0.014428
24 Aug 2022 08:02:15.000,43.718,45.042,510.171878,-0.038788,0.065041,-0.014457
24 Aug 2022 08:02:17.000,43.640,45.172,510.142921,-0.038872,0.064863,-0.014486
24 Aug 2022 08:02:19.000,43.562,45.301,510.113907,-0.038956,0.064686,-0.014515
24 Aug 2022 08:02:21.000,43.484,45.430,510.084835,-0.039039,0.064509,-0.014544
24 Aug 2022 08:02:23.000,43.406,45.559,510.055706,-0.039122,0.064333,-0.014572
24 Aug 2022 08:02:25.000,43.328,45.688,510.026520,-0.039204,0.064157,-0.014600
24 Aug 2022 08:02:27.000,43.249,45.816,509.997279,-0.039286,0.063982,-0.014628
24 Aug 2022 08:02:29.000,43.171,45.944,509.967982,-0.039367,0.063808,-0.014656
24 Aug 2022 08:02:31.000,43.092,46.071,509.938631,-0.039448,0.063634,-0.014683
24 Aug 2022 08:02:33.000,43.013,46.198,509.909225,-0.039529,0.063461,-0.014710
24 Aug 2022 08:02:35.000,42.934,46.325,509.879766,-0.039609,0.063288,-0.014736
24 Aug 2022 08:02:37.000,42.854,46.451,509.850254,-0.039689,0.063116,-0.014763
24 Aug 2022 08:02:39.000,42.775,46.577,509.820690,-0.039768,0.062944,-0.014789
24 Aug 2022 08:02:41.000,42.695,46.703,509.791074,-0.039847,0.062773,-0.014814
24 Aug 2022 08:02:43.000,42.615,46.828,509.761406,-0.039925,0.062603,-0.014840
24 Aug 2022 08:02:45.000,42.535,46.953,509.731688,-0.040003,0.062433,-0.014865
24 Aug 2022 08:02:47.000,42.455,47.078,509.701920,-0.040081,0.062263,-0.014890
24 Aug 2022 08:02:49.000,42.375,47.202,509.672102,-0.040158,0.062095,-0.014915
24 Aug 2022 08:02:51.000,42.295,47.326,509.642236,-0.040235,0.061926,-0.014939
24 Aug 2022 08:02:53.000,42.214,47.450,509.612321,-0.040312,0.061759,-0.014963
24 Aug 2022 08:02:55.000,42.133,47.573,509.582358,-0.040388,0.061592,-0.014987
24 Aug 2022 08:02:57.000,42.052,47.696,509.552348,-0.040463,0.061426,-0.015010
24 Aug 2022 08:02:59.000,41.971,47.819,509.522291,-0.040539,0.061260,-0.015033
24 Aug 2022 08:03:01.000,41.890,47.941,509.492189,-0.040613,0.061095,-0.015056
24 Aug 2022 08:03:03.000,41.809,48.063,509.462041,-0.040688,0.060930,-0.015079
24 Aug 2022 08:03:05.000,41.727,48.185,509.431849,-0.040762,0.060766,-0.015101
24 Aug 2022 08:03:07.000,41.646,48.306,509.401612,-0.040836,0.060602,-0.015123
24 Aug 2022 08:03:09.000,41.564,48.427,509.371331,-0.040909,0.060440,-0.015144
24 Aug 2022 08:03:11.000,41.482,48.548,509.341008,-0.040982,0.060277,-0.015166
24 Aug 2022 08:03:13.000,41.400,48.668,509.310642,-0.041054,0.060116,-0.015187
24 Aug 2022 08:03:15.000,41.318,48.788,509.280234,-0.041127,0.059954,-0.015208
24 Aug 2022 08:03:17.000,41.235,48.908,509.249785,-0.041198,0.059794,-0.015228
24 Aug 2022 08:03:19.000,41.153,49.027,509.219295,-0.041270,0.059634,-0.015248
24 Aug 2022 08:03:21.000,41.070,49.146,509.188765,-0.041341,0.059475,-0.015268
24 Aug 2022 08:03:23.000,40.987,49.265,509.158196,-0.041411,0.059316,-0.015288
24 Aug 2022 08:03:25.000,40.904,49.383,509.127588,-0.041482,0.059158,-0.015307
24 Aug 2022 08:03:27.000,40.821,49.501,509.096941,-0.041552,0.059000,-0.015326
24 Aug 2022 08:03:29.000,40.738,49.619,509.066257,-0.041621,0.058843,-0.015345
24 Aug 2022 08:03:31.000,40.655,49.737,509.035536,-0.041690,0.058687,-0.015363
24 Aug 2022 08:03:33.000,40.571,49.854,509.004778,-0.041759,0.058531,-0.015381
24 Aug 2022 08:03:35.000,40.488,49.971,508.973985,-0.041827,0.058376,-0.015399
24 Aug 2022 08:03:37.000,40.404,50.087,508.943156,-0.041895,0.058221,-0.015416
24 Aug 2022 08:03:39.000,40.320,50.203,508.912293,-0.041963,0.058067,-0.015433
24 Aug 2022 08:03:41.000,40.236,50.319,508.881395,-0.042030,0.057914,-0.015450
24 Aug 2022 08:03:43.000,40.152,50.435,508.850464,-0.042097,0.057761,-0.015467
24 Aug 2022 08:03:45.000,40.068,50.550,508.819501,-0.042164,0.057609,-0.015483
