"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
21 Aug 2022 07:30:00.000,-0.000,-82.105,500.000000,0.052270,0.032195,-0.000000
21 Aug 2022 07:30:10.000,0.523,-81.784,500.001766,0.052269,0.032198,0.000353
21 Aug 2022 07:30:20.000,1.046,-81.462,500.007067,0.052266,0.032207,0.000706
21 Aug 2022 07:30:30.000,1.569,-81.140,500.015898,0.052260,0.032222,0.001059
21 Aug 2022 07:30:40.000,2.091,-80.818,500.028255,0.052252,0.032243,0.001411
21 Aug 2022 07:30:50.000,2.614,-80.496,500.044134,0.052242,0.032270,0.001763
21 Aug 2022 07:31:00.000,3.137,-80.174,500.063525,0.052230,0.032303,0.002113
21 Aug 2022 07:31:10.000,3.659,-79.851,500.086418,0.052216,0.032342,0.002463
21 Aug 2022 07:31:20.000,4.181,-79.527,500.112804,0.052199,0.032387,0.002811
21 Aug 2022 07:31:30.000,4.704,-79.204,500.142668,0.052180,0.032438,0.003158
21 Aug 2022 07:31:40.000,5.225,-78.879,500.175997,0.052159,0.032495,0.003504
21 Aug 2022 07:31:50.000,5.747,-78.554,500.212772,0.052135,0.032559,0.003848
21 Aug 2022 07:32:00.000,6.269,-78.229,500.252977,0.052110,0.032628,0.004189
21 Aug 2022 07:32:10.000,6.790,-77.902,500.296591,0.052081,0.032704,0.004529
21 Aug 2022 07:32:20.000,7.311,-77.575,500.343593,0.052051,0.032786,0.004867
21 Aug 2022 07:32:30.000,7.831,-77.247,500.393959,0.052018,0.032874,0.005202
21 Aug 2022 07:32:40.000,8.352,-76.919,500.447665,0.051983,0.032969,0.005534
21 Aug 2022 07:32:50.000,8.871,-76.589,500.504684,0.051946,0.033070,0.005864
21 Aug 2022 07:33:00.000,9.391,-76.258,500.564987,0.051906,0.033177,0.006191
21 Aug 2022 07:33:10.000,9.910,-75.926,500.628546,0.051863,0.033291,0.006515
21 Aug 2022 07:33:20.000,10.429,-75.593,500.695328,0.051819,0.033412,0.006835
21 Aug 2022 07:33:30.000,10.947,-75.258,500.765300,0.051771,0.033539,0.007152
21 Aug 2022 07:33:40.000,11.464,-74.923,500.838429,0.051722,0.033672,0.007466
21 Aug 2022 07:33:50.000,11.982,-74.585,500.914677,0.051669,0.033813,0.007776
21 Aug 2022 07:34:00.000,12.498,-74.247,500.994008,0.051615,0.033960,0.008082
21 Aug 2022 07:34:10.000,13.014,-73.907,501.076381,0.051557,0.034114,0.008384
21 Aug 2022 07:34:20.000,13.530,-73.565,501.161756,0.051497,0.034275,0.008682
21 Aug 2022 07:34:30.000,14.045,-73.222,501.250091,0.051434,0.034443,0.008976
21 Aug 2022 07:34:40.000,14.559,-72.877,501.341343,0.051369,0.034618,0.009265
21 Aug 2022 07:34:50.000,15.073,-72.530,501.435466,0.051301,0.034800,0.009550
21 Aug 2022 07:35:00.000,15.586,-72.182,501.532413,0.051230,0.034990,0.009830
21 Aug 2022 07:35:10.000,16.098,-71.831,501.632137,0.051156,0.035187,0.010105
21 Aug 2022 07:35:20.000,16.609,-71.479,501.734589,0.051080,0.035391,0.010375
21 Aug 2022 07:35:30.000,17.120,-71.124,501.839718,0.051000,0.035603,0.010640
21 Aug 2022 07:35:40.000,17.630,-70.767,501.947472,0.050918,0.035823,0.010900
21 Aug 2022 07:35:50.000,18.139,-70.408,502.057797,0.050833,0.036050,0.011154
21 Aug 2022 07:36:00.000,18.647,-70.047,502.170640,0.050744,0.036285,0.011403
21 Aug 2022 07:36:10.000,19.154,-69.683,502.285945,0.050653,0.036529,0.011647
21 Aug 2022 07:36:20.000,19.660,-69.317,502.403654,0.050558,0.036780,0.011884
21 Aug 2022 07:36:30.000,20.165,-68.948,502.523711,0.050460,0.037040,0.012116
21 Aug 2022 07:36:40.000,20.670,-68.577,502.646054,0.050359,0.037308,0.012341
21 Aug 2022 07:36:50.000,21.173,-68.203,502.770625,0.050254,0.037584,0.012561
21 Aug 2022 07:37:00.000,21.675,-67.826,502.897361,0.050146,0.037869,0.012774
21 Aug 2022 07:37:10.000,22.176,-67.446,503.026201,0.050035,0.038163,0.012981
21 Aug 2022 07:37:20.000,22.676,-67.063,503.157080,0.049920,0.038466,0.013182
21 Aug 2022 07:37:30.000,23.175,-66.677,503.289935,0.049801,0.038778,0.013376
21 Aug 2022 07:37:40.000,23.673,-66.288,503.424699,0.049679,0.039099,0.013564
21 Aug 2022 07:37:50.000,24.169,-65.896,503.561306,0.049553,0.039430,0.013745
21 Aug 2022 07:38:00.000,24.664,-65.500,503.699690,0.049423,0.039769,0.013919
21 Aug 2022 07:38:10.000,25.158,-65.101,503.839781,0.049289,0.040119,0.014086
21 Aug 2022 07:38:20.000,25.650,-64.698,503.981511,0.049151,0.040478,0.014246
21 Aug 2022 07:38:30.000,26.142,-64.292,504.124809,0.049009,0.040848,0.014400
21 Aug 2022 07:38:40.000,26.631,-63.882,504.269607,0.048863,0.041227,0.014546
21 Aug 2022 07:38:50.000,27.119,-63.468,504.415831,0.048712,0.041617,0.014685
21 Aug 2022 07:39:00.000,27.606,-63.050,504.563410,0.048557,0.042018,0.014817
21 Aug 2022 07:39:10.000,28.091,-62.628,504.712273,0.048398,0.042429,0.014941
21 Aug 2022 07:39:20.000,28.574,-62.202,504.862344,0.048233,0.042850,0.015059
21 Aug 2022 07:39:30.000,29.056,-61.772,505.013551,0.048065,0.043283,0.015168
21 Aug 2022 07:39:40.000,29.536,-61.337,505.165819,0.047891,0.043727,0.015271
21 Aug 2022 07:39:50.000,30.014,-60.898,505.319073,0.047712,0.044183,0.015365
21 Aug 2022 07:40:00.000,30.490,-60.454,505.473238,0.047529,0.044650,0.015453
21 Aug 2022 07:40:10.000,30.965,-60.005,505.628239,0.047340,0.045128,0.015532
21 Aug 2022 07:40:20.000,31.438,-59.552,505.783998,0.047145,0.045619,0.015604
21 Aug 2022 07:40:30.000,31.908,-59.094,505.940440,0.046946,0.046122,0.015669
21 Aug 2022 07:40:40.000,32.377,-58.630,506.097487,0.046740,0.046637,0.015726
21 Aug 2022 07:40:50.000,32.844,-58.161,506.255063,0.046529,0.047164,0.015774
21 Aug 2022 07:41:00.000,33.308,-57.687,506.413090,0.046312,0.047704,0.015816
