"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
23 Aug 2022 08:03:46.596,40.000,51.627,508.794767,-0.042217,0.057488,-0.015496
23 Aug 2022 08:03:56.000,39.602,52.164,508.648642,-0.042524,0.056783,-0.015567
23 Aug 2022 08:04:06.000,39.175,52.728,508.492554,-0.042842,0.056046,-0.015635
23 Aug 2022 08:04:16.000,38.744,53.285,508.335821,-0.043152,0.055325,-0.015696
23 Aug 2022 08:04:26.000,38.311,53.834,508.178518,-0.043454,0.054618,-0.015749
23 Aug 2022 08:04:36.000,37.875,54.377,508.020723,-0.043747,0.053926,-0.015795
23 Aug 2022 08:04:46.000,37.436,54.912,507.862513,-0.044033,0.053248,-0.015832
23 Aug 2022 08:04:56.000,36.994,55.441,507.703966,-0.044311,0.052584,-0.015862
23 Aug 2022 08:05:06.000,36.549,55.964,507.545159,-0.044582,0.051935,-0.015884
23 Aug 2022 08:05:16.000,36.102,56.480,507.386171,-0.044846,0.051300,-0.015898
23 Aug 2022 08:05:26.000,35.652,56.989,507.227078,-0.045102,0.050678,-0.015905
23 Aug 2022 08:05:36.000,35.199,57.493,507.067960,-0.045352,0.050070,-0.015904
23 Aug 2022 08:05:46.000,34.745,57.990,506.908894,-0.045595,0.049476,-0.015894
23 Aug 2022 08:05:56.000,34.287,58.482,506.749958,-0.045831,0.048895,-0.015877
23 Aug 2022 08:06:06.000,33.828,58.968,506.591231,-0.046061,0.048327,-0.015853
23 Aug 2022 08:06:16.000,33.366,59.448,506.432789,-0.046285,0.047773,-0.015820
23 Aug 2022 08:06:26.000,32.901,59.922,506.274712,-0.046503,0.047231,-0.015780
23 Aug 2022 08:06:36.000,32.435,60.392,506.117076,-0.046714,0.046702,-0.015732
23 Aug 2022 08:06:46.000,31.967,60.856,505.959958,-0.046920,0.046185,-0.015676
23 Aug 2022 08:06:56.000,31.496,61.315,505.803437,-0.047121,0.045681,-0.015613
23 Aug 2022 08:07:06.000,31.024,61.769,505.647588,-0.047316,0.045189,-0.015542
23 Aug 2022 08:07:16.000,30.550,62.218,505.492489,-0.047505,0.044709,-0.015463
23 Aug 2022 08:07:26.000,30.073,62.663,505.338216,-0.047690,0.044240,-0.015377
23 Aug 2022 08:07:36.000,29.595,63.102,505.184844,-0.047869,0.043783,-0.015283
23 Aug 2022 08:07:46.000,29.116,63.538,505.032449,-0.048043,0.043338,-0.015181
23 Aug 2022 08:07:56.000,28.634,63.969,504.881106,-0.048213,0.042904,-0.015073
23 Aug 2022 08:08:06.000,28.151,64.395,504.730890,-0.048377,0.042480,-0.014956
23 Aug 2022 08:08:16.000,27.666,64.818,504.581873,-0.048537,0.042068,-0.014833
23 Aug 2022 08:08:26.000,27.180,65.236,504.434130,-0.048693,0.041666,-0.014702
23 Aug 2022 08:08:36.000,26.692,65.650,504.287733,-0.048844,0.041275,-0.014564
