"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
15 Aug 2022 07:30:00.000,-0.000,-76.191,500.000000,0.052270,0.032195,-0.000000
15 Aug 2022 07:31:00.000,3.137,-74.260,500.063524,0.052230,0.032303,0.002113
15 Aug 2022 07:32:00.000,6.269,-72.315,500.252976,0.052110,0.032628,0.004189
15 Aug 2022 07:33:00.000,9.391,-70.344,500.564986,0.051906,0.033177,0.006191
15 Aug 2022 07:34:00.000,12.498,-68.333,500.994006,0.051615,0.033960,0.008082
15 Aug 2022 07:35:00.000,15.586,-66.268,501.532412,0.051230,0.034990,0.009830
15 Aug 2022 07:36:00.000,18.647,-64.133,502.170639,0.050744,0.036285,0.011403
15 Aug 2022 07:37:00.000,21.675,-61.912,502.897360,0.050146,0.037869,0.012774
15 Aug 2022 07:38:00.000,24.664,-59.586,503.699688,0.049423,0.039769,0.013919
15 Aug 2022 07:39:00.000,27.606,-57.136,504.563409,0.048557,0.042018,0.014817
15 Aug 2022 07:40:00.000,30.490,-54.540,505.473237,0.047529,0.044650,0.015453
15 Aug 2022 07:41:00.000,33.308,-51.773,506.413089,0.046312,0.047704,0.015816
15 Aug 2022 07:42:00.000,36.046,-48.810,507.366370,0.044878,0.051221,0.015900
15 Aug 2022 07:43:00.000,38.691,-45.620,508.316268,0.043190,0.055236,0.015703
15 Aug 2022 07:44:00.000,41.225,-42.174,509.246052,0.041207,0.059775,0.015230
15 Aug 2022 07:45:00.000,43.631,-38.439,510.139364,0.038882,0.064842,0.014490
15 Aug 2022 07:46:00.000,45.885,-34.385,510.980506,0.036165,0.070409,0.013495
15 Aug 2022 07:47:00.000,47.964,-29.984,511.754712,0.033006,0.076392,0.012263
15 Aug 2022 07:48:00.000,49.838,-25.215,512.448407,0.029359,0.082633,0.010816
15 Aug 2022 07:49:00.000,51.478,-20.069,513.049436,0.025194,0.088881,0.009180
15 Aug 2022 07:50:00.000,52.852,-14.557,513.547279,0.020505,0.094782,0.007383
15 Aug 2022 07:51:00.000,53.930,-8.712,513.933227,0.015325,0.099899,0.005457
15 Aug 2022 07:52:00.000,54.684,-2.595,514.200532,0.009733,0.103766,0.003436
15 Aug 2022 07:53:00.000,55.092,3.706,514.344523,0.003856,0.105970,0.001355
15 Aug 2022 07:54:00.000,55.144,10.083,514.362684,-0.002138,0.106255,-0.000750
15 Aug 2022 07:55:00.000,54.837,16.417,514.254698,-0.008066,0.104584,-0.002842
15 Aug 2022 07:56:00.000,54.181,22.597,514.022451,-0.013755,0.101159,-0.004885
15 Aug 2022 07:57:00.000,53.193,28.528,513.670002,-0.019064,0.096354,-0.006841
15 Aug 2022 07:58:00.000,51.901,34.140,513.203512,-0.023899,0.090631,-0.008679
15 Aug 2022 07:59:00.000,50.335,39.393,512.631140,-0.028216,0.084442,-0.010364
15 Aug 2022 08:00:00.000,48.525,44.270,511.962903,-0.032010,0.078169,-0.011868
15 Aug 2022 08:01:00.000,46.502,48.776,511.210506,-0.035305,0.072091,-0.013164
15 Aug 2022 08:02:00.000,44.295,52.927,510.387139,-0.038144,0.066393,-0.014229
15 Aug 2022 08:03:00.000,41.931,56.750,509.507250,-0.040576,0.061177,-0.015045
15 Aug 2022 08:04:00.000,39.431,60.276,508.586298,-0.042652,0.056486,-0.015595
15 Aug 2022 08:05:00.000,36.816,63.536,507.640478,-0.044420,0.052323,-0.015872
15 Aug 2022 08:06:00.000,34.104,66.562,506.686446,-0.045924,0.048666,-0.015869
15 Aug 2022 08:07:00.000,31.308,69.382,505.741020,-0.047199,0.045483,-0.015585
15 Aug 2022 08:08:00.000,28.441,72.025,504.820887,-0.048279,0.042733,-0.015027
15 Aug 2022 08:09:00.000,25.515,74.515,503.942308,-0.049189,0.040378,-0.014203
15 Aug 2022 08:10:00.000,22.539,76.874,503.120827,-0.049952,0.038382,-0.013127
15 Aug 2022 08:11:00.000,19.521,79.123,502.370992,-0.050584,0.036710,-0.011819
15 Aug 2022 08:12:00.000,16.468,81.281,501.706097,-0.051101,0.035334,-0.010301
15 Aug 2022 08:13:00.000,13.388,83.365,501.137940,-0.051514,0.034230,-0.008601
15 Aug 2022 08:14:00.000,10.286,85.390,500.676611,-0.051831,0.033378,-0.006747
15 Aug 2022 08:15:00.000,7.167,87.371,500.330308,-0.052060,0.032763,-0.004774
15 Aug 2022 08:16:00.000,4.038,89.321,500.105188,-0.052204,0.032374,-0.002716
15 Aug 2022 08:17:00.000,0.902,91.256,500.005254,-0.052267,0.032204,-0.000609
15 Aug 2022 08:18:00.000,-2.236,93.186,500.032285,-0.052250,0.032250,0.001508
15 Aug 2022 08:19:00.000,-5.369,95.126,500.185799,-0.052153,0.032512,0.003599
15 Aug 2022 08:20:00.000,-8.495,97.088,500.463066,-0.051973,0.032996,0.005626
15 Aug 2022 08:21:00.000,-11.607,99.086,500.859155,-0.051707,0.033710,0.007552
15 Aug 2022 08:22:00.000,-14.701,101.134,501.367026,-0.051351,0.034667,0.009344
15 Aug 2022 08:23:00.000,-17.770,103.247,501.977655,-0.050895,0.035885,0.010971
15 Aug 2022 08:24:00.000,-20.809,105.442,502.680202,-0.050330,0.037383,0.012402
15 Aug 2022 08:25:00.000,-23.810,107.735,503.462206,-0.049644,0.039189,0.013614
15 Aug 2022 08:26:00.000,-26.766,110.147,504.309808,-0.048821,0.041334,0.014585
15 Aug 2022 08:27:00.000,-29.668,112.699,505.208004,-0.047842,0.043852,0.015298
15 Aug 2022 08:28:00.000,-32.506,115.414,506.140911,-0.046683,0.046781,0.015740
15 Aug 2022 08:29:00.000,-35.268,118.318,507.092050,-0.045314,0.050161,0.015904
15 Aug 2022 08:30:00.000,-37.941,121.440,508.044642,-0.043703,0.054030,0.015788
15 Aug 2022 08:31:00.000,-40.509,124.809,508.981902,-0.041810,0.058416,0.015394
15 Aug 2022 08:32:00.000,-42.954,128.458,509.887335,-0.039588,0.063333,0.014729
15 Aug 2022 08:33:00.000,-45.254,132.417,510.745025,-0.036989,0.068762,0.013806
15 Aug 2022 08:34:00.000,-47.386,136.716,511.539912,-0.033962,0.074638,0.012640
15 Aug 2022 08:35:00.000,-49.322,141.378,512.258052,-0.030459,0.080826,0.011253
15 Aug 2022 08:36:00.000,-51.032,146.415,512.886860,-0.026445,0.087104,0.009668
15 Aug 2022 08:37:00.000,-52.486,151.824,513.415328,-0.021905,0.093146,0.007914
15 Aug 2022 08:38:00.000,-53.652,157.579,513.834208,-0.016860,0.098537,0.006022
15 Aug 2022 08:39:00.000,-54.501,163.626,514.136176,-0.011375,0.102809,0.004025
15 Aug 2022 08:40:00.000,-55.011,169.884,514.315954,-0.005565,0.105526,0.001957
15 Aug 2022 08:41:00.000,-55.166,176.251,514.370402,0.000414,0.106376,-0.000145
15 Aug 2022 08:42:00.000,-54.962,-177.390,514.298567,0.006380,0.105257,-0.002245
15 Aug 2022 08:43:00.000,-54.404,-171.155,514.101705,0.012154,0.102303,-0.004305
15 Aug 2022 08:44:00.000,-53.510,-165.145,513.783256,0.017584,0.097849,-0.006290
15 Aug 2022 08:45:00.000,-52.302,-159.435,513.348786,0.022562,0.092342,-0.008165
15 Aug 2022 08:46:00.000,-50.811,-154.076,512.805892,0.027030,0.086244,-0.009897
15 Aug 2022 08:47:00.000,-49.068,-149.091,512.164074,0.030972,0.079962,-0.011456
15 Aug 2022 08:48:00.000,-47.103,-144.480,511.434571,0.034407,0.073805,-0.012814
15 Aug 2022 08:49:00.000,-44.947,-140.230,510.630169,0.037372,0.067984,-0.013948
15 Aug 2022 08:50:00.000,-42.625,-136.315,509.764978,0.039916,0.062623,-0.014837
15 Aug 2022 08:51:00.000,-40.162,-132.707,508.854195,0.042089,0.057780,-0.015465
15 Aug 2022 08:52:00.000,-37.578,-129.374,507.913830,0.043941,0.053466,-0.015821
15 Aug 2022 08:53:00.000,-34.892,-126.284,506.960438,0.045517,0.049667,-0.015898
15 Aug 2022 08:54:00.000,-32.119,-123.407,506.010819,0.046854,0.046351,-0.015695
15 Aug 2022 08:55:00.000,-29.271,-120.716,505.081730,0.047987,0.043481,-0.015215
15 Aug 2022 08:56:00.000,-26.361,-118.185,504.189583,0.048944,0.041017,-0.014466
15 Aug 2022 08:57:00.000,-23.399,-115.790,503.350157,0.049747,0.038921,-0.013461
15 Aug 2022 08:58:00.000,-20.392,-113.512,502.578314,0.050415,0.037159,-0.012218
15 Aug 2022 08:59:00.000,-17.349,-111.329,501.887734,0.050964,0.035701,-0.010758
15 Aug 2022 09:00:00.000,-14.276,-109.226,501.290669,0.051405,0.034520,-0.009106
15 Aug 2022 09:01:00.000,-11.179,-107.186,500.797718,0.051749,0.033598,-0.007294
15 Aug 2022 09:02:00.000,-8.065,-105.193,500.417640,0.052003,0.032916,-0.005351
15 Aug 2022 09:03:00.000,-4.938,-103.235,500.157192,0.052171,0.032463,-0.003314
15 Aug 2022 09:04:00.000,-1.803,-101.298,500.021006,0.052257,0.032230,-0.001217
15 Aug 2022 09:05:00.000,1.334,-99.368,500.011503,0.052263,0.032214,0.000901
15 Aug 2022 09:06:00.000,4.470,-97.432,500.128854,0.052189,0.032414,0.003003
